"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*051k7*","Reece James","CHE","D","Martial","25","CRY Sun 9:00AM","152.75","0","100","92.8","100%"
"*06y4g*","Antoni Milambo","BRF","M","FA","20","@NOT Sun 9:00AM","149.25","0","2","1110","5%"
"*05mzz*","Pascal Struijk","LEE","D","FA","25","EVE Mon 3:00PM","149","0","2","1133.4","5%"
"*02lnx*","Danny Welbeck","BHA","F","PMSWJ","34","FUL Sat 10:00AM","148.5","0","64","129.3","68%"
"*06y9z*","Martin Zubimendi","ARS","M","FA","26","@MUN Sun 11:30AM","148.25","0","48","146.3","44%"
"*052ca*","Ezri Konsa","AVL","D","Martial","27","NEW Sat 7:30AM","147","0","2","1165.4","8%"
"*06v0s*","Eliezer Mayenda","SUN","F","FA","20","WHU Sat 10:00AM","146","0","90","112.9","85%"
"*06y9m*","Maxim De Cuyper","BHA","D","FA","24","FUL Sat 10:00AM","145.25","0","52","126.2","59%"
"*05omu*","Ruben Dias","MCI","D","Citeh","28","@WOL Sat 12:30PM","145","0","19","211","28%"
"*06f81*","Edson Alvarez","WHU","M","FA","27","@SUN Sat 10:00AM","144.75","0","0","-","0%"
"*04fk6*","Bernardo Silva","MCI","M","Citeh","30","@WOL Sat 12:30PM","143.5","0","93","91.8","92%"
"*06v0d*","Anthony Patterson","SUN","G","FA","25","WHU Sat 10:00AM","143.5","0","7","368.4","5%"
"*05tr8*","Christian Norgaard","ARS","M","Fiji","31","@MUN Sun 11:30AM","141.75","0","53","151.3","50%"
"*06nvg*","Jota Silva","NOT","F","FA","25","BRF Sun 9:00AM","137.5","0","22","174.3","32%"
"*052cb*","Ian Maatsen","AVL","D","FA","23","NEW Sat 7:30AM","137.25","0","97","104.2","92%"
"*06v0l*","Chris Rigg","SUN","M","FA","18","WHU Sat 10:00AM","135.5","0","17","245.3","18%"
"*06f8y*","Alex Scott","BOU","M","FA","21","@LIV Fri 3:00PM","133.25","0","2","1195.4","5%"
"*0520r*","Leandro Trossard","ARS","M","FA","30","@MUN Sun 11:30AM","132","0","85","107.1","88%"
"*06v0t*","Wilson Isidor","SUN","F","FA","24","WHU Sat 10:00AM","130.5","0","20","203.7","20%"
"*03jly*","Andreas Pereira","FUL","M","FA","29","@BHA Sat 10:00AM","130","0","51","155.1","35%"
"*06mn7*","Lucas Bergvall","TOT","M","FA","19","BUR Sat 10:00AM","129.25","0","2","1174.4","8%"
"*0642l*","Casemiro","MUN","M","Citeh","33","ARS Sun 11:30AM","129","0","0","-","0%"
"*05gcx*","Josh Brownhill","BUR","M","FA","29","@TOT Sat 10:00AM","127","0","61","145.4","62%"
"*063y7*","Destiny Udogie","TOT","D","FA","22","BUR Sat 10:00AM","126.25","0","32","160.4","38%"
"*06rm8*","Mathys Tel","TOT","F","Haha","20","BUR Sat 10:00AM","126.25","0","97","98.6","95%"
"*04u40*","Kepa","ARS","G","PMSWJ","30","@MUN Sun 11:30AM","123.75","0","2","1123.4","8%"
"*066r9*","Ehor Yarmolyuk","BRF","M","FA","21","@NOT Sun 9:00AM","123.5","0","0","-","5%"
"*04tzt*","Jefferson Lerma","CRY","M","Haha","30","@CHE Sun 9:00AM","122.75","0","2","1166.4","2%"
"*05udw*","Romaine Mundle","SUN","F","FA","22","WHU Sat 10:00AM","121.5","0","10","337.3","8%"
"*05o4b*","Matty Cash","AVL","D","FA","27","NEW Sat 7:30AM","120.25","0","2","1190.4","5%"
"*06mn8*","Rodrigo Gomes","WOL","M","FA","22","MCI Sat 12:30PM","118.75","0","5","413.5","5%"
"*062h7*","Tyler Adams","BOU","M","FA","26","@LIV Fri 3:00PM","117.5","0","2","1157.4","5%"
"*05ojg*","Nelson Semedo","WOL","D","FA","31","MCI Sat 12:30PM","116.5","0","12","258.7","15%"
"*05rl4*","Crysencio Summerville","WHU","M","FA","23","@SUN Sat 10:00AM","113.5","0","64","144.2","68%"
"*068yc*","Yasin Ayari","BHA","M","FA","21","FUL Sat 10:00AM","112","0","10","333.3","10%"
"*04qfz*","Diogo Dalot","MUN","D","FA","26","ARS Sun 11:30AM","111","0","69","144.5","58%"
"*0666p*","Kobbie Mainoo","MUN","M","FA","20","ARS Sun 11:30AM","111","0","2","1214.4","8%"
"*05ojf*","Fabio Carvalho","BRF","M","FA","22","@NOT Sun 9:00AM","110.75","0","0","-","2%"
